ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5,PixelX,PixelY
99,Umoya,Skwatta Kamp,2003,male,10,1,1,0,0,0,0,38,60
100,We Got It For Cheap (Intro),Clipse,2006,male,10,1,1,0,0,0,0,39,60
101,White Lines,Grandmaster Melle Mel,1983,male,10,1,1,0,0,0,0,40,60
102,Wot Do U Call It?,Wiley,2004,male,10,1,1,0,0,0,0,41,60
103,Bring Da Ruckus,Wu-Tang Clan,1993,male,8,2,0,0,1,0,1,14,61
104,Can’t Tell Me Nothing,Kanye West,2007,male,8,2,0,0,1,0,1,15,61
105,Monster,Kanye West,2010,male,8,2,0,0,1,0,1,16,61
106,Real,Lupe Fiasco,2006,male,8,2,0,0,1,0,1,17,61
107,Straight Outta Compton,NWA,1988,male,8,2,0,0,0,2,0,18,61
108,22 Two’s,JAY-Z,1996,male,8,1,0,1,0,0,0,19,61
109,4th Chamber,Gza ft. Ghostface Killah & Killah Priest & RZA,1995,male,8,1,0,1,0,0,0,31,61
110,Above The Clouds,Gang Starr ft. Inspectah Deck,1998,male,8,1,0,1,0,0,0,32,61
111,Ain’t No N*gga,JAY-Z ft. Foxy Brown,1996,mixed,8,1,0,1,0,0,0,33,61
112,Ain’t No Thang,Outkast,1994,male,8,1,0,1,0,0,0,35,61
113,Backseat Freestyle,Kendrick Lamar,2012,male,8,1,0,1,0,0,0,36,61
114,Black Cop,KRS-One,1993,male,8,1,0,1,0,0,0,37,61
115,Cannon,Lil Wayne,2006,male,8,1,0,1,0,0,0,38,61
116,Cherchez La Ghost,Ghostface Killah ft. Madam Majestic & U-God,2000,mixed,8,1,0,1,0,0,0,39,61
117,Da Rockwilder,Method Man and Redman,1999,male,8,1,0,1,0,0,0,14,62
118,Day 'N' Nite,Kid Cudi,2008,male,8,1,0,1,0,0,0,15,62
119,Dirt Off Your Shoulder,JAY-Z,2003,male,8,1,0,1,0,0,0,16,62
120,Flava,Rich Gang,2014,male,8,1,0,1,0,0,0,17,62
121,Flava In Ya Ear (Remix),Craig Mack,1994,male,8,1,0,1,0,0,0,18,62
122,Freaky Tales,Too $hort,1987,male,8,1,0,1,0,0,0,31,62
123,Fuck You,The LOX,2000,male,8,1,0,1,0,0,0,32,62
124,Ghetto Manifesto,The Coup,2001,male,8,1,0,1,0,0,0,33,62
125,God’s Eye,Stogie T,2018,male,8,1,0,1,0,0,0,35,62
126,Hip Hop,Mos Def,1999,male,8,1,0,1,0,0,0,36,62
127,How We Roll,Canibus,1998,male,8,1,0,1,0,0,0,37,62
128,Humble,Kendrick Lamar,2017,male,8,1,0,1,0,0,0,38,62
129,I Heard,Young Fathers,2013,male,8,1,0,1,0,0,0,39,62
130,I’ll Be Missing You,Puff Daddy ft. Faith Evans and 112,1997,mixed,8,1,0,1,0,0,0,311,62
131,Je Danse Le Mia,IAM,1994,male,8,1,0,1,0,0,0,14,63
132,Jonylah Forever,Lupe Fiasco,2013,male,8,1,0,1,0,0,0,15,63
133,Last Dayz,Onyx,1995,male,8,1,0,1,0,0,0,16,63
134,Liberation,OutKast,1998,male,8,1,0,1,0,0,0,14,64
135,Lucifer,JAY-Z,2003,male,8,1,0,1,0,0,0,15,64
136,Marcy Me,JAY-Z,2017,male,8,1,0,1,0,0,0,16,64
137,Murder,UGK,1996,male,8,1,0,1,0,0,0,14,65
138,New World Water,Yasiin Bey (Mos Def),1999,male,8,1,0,1,0,0,0,15,65
139,Scenario,A Tribe Called Quest,1991,male,8,1,0,1,0,0,0,16,65
140,Self Destruction,Stop The Violence Movement,1989,mixed,8,1,0,1,0,0,0,17,66
141,Slippin',DMX,1998,male,8,1,0,1,0,0,0,16,67
142,So Many Tears,2Pac,1995,male,8,1,0,1,0,0,0,17,67
143,Soweto,ProKid,2005,male,8,1,0,1,0,0,0,17,68
144,Super Bass,Nicki Minaj,2011,female,8,1,0,1,0,0,0,18,72
145,Takkies,YoungstaCPT,2016,male,8,1,0,1,0,0,0,19,72
146,The Black God,SpaceGhostPurrp,2012,male,8,1,0,1,0,0,0,18,73
147,The Bridge Is Over,BDP,1987,male,8,1,0,1,0,0,0,19,73
148,The World Is Yours,Nas,1994,male,8,1,0,1,0,0,0,17,74
149,Ultralight Beam,Kanye West,2016,male,8,1,0,1,0,0,0,18,74
150,Warm It Up Kane,Big Daddy Kane,1989,male,8,1,0,1,0,0,0,19,74
151,We Can Get Gangsta,Project Pat,2001,male,8,1,0,1,0,0,0,320,75
152,Woo Hah!! Got You All In Check,Busta Rhymes,1996,male,8,1,0,1,0,0,0,274,76
153,Beat Bop,Rammellzee & K Rob,1983,male,6,2,0,0,0,1,1,276,76
154,I Get Around,2Pac,1993,male,6,2,0,0,0,1,1,246,79
155,Party Life,JAY-Z,2007,male,6,2,0,0,0,1,1,329,83
156,Where I’m From,JAY-Z,1997,male,6,2,0,0,0,1,1,330,83
157,Act Too (Love of My Life),The Roots,1999,male,6,1,0,0,1,0,0,329,84
158,America’s Most Blunted,Madvillain,2004,male,6,1,0,0,1,0,0,330,84
159,Atrevido,Orishas,2000,male,6,1,0,0,1,0,0,328,85
160,Bonita Applebum,A Tribe Called Quest,1990,male,6,1,0,0,1,0,0,329,85
161,Bout It Bout It,Master P,1996,male,6,1,0,0,1,0,0,330,85
162,Can’t Knock The Hustle,JAY-Z,1996,male,6,1,0,0,1,0,0,328,88
163,Cartoons & Cereal,Kendrick Lamar ft. Gunplay,2012,male,6,1,0,0,1,0,0,351,88
